Family,Species
Asteraceae,Acmella darwinii
Asteraceae,Acmella sodiroi
Solanaceae,Acnistus arborescens
Ericaceae,Arctostaphylos cruzensis
Ericaceae,Arctostaphylos viridissima
Ericaceae,Arctostaphylos viscida
Papaveraceae,Argemone glauca
Papaveraceae,Argemone mexicana
Papaveraceae,Argemone subfusiformis
Papaveraceae,Argemone subinermis
Papaveraceae,Argemone superba
Berberidaceae,Berberis corymbosa
Berberidaceae,Berberis microphylla
Berberidaceae,Berberis rotundifolia
Rubiaceae,Bertiera angustifolia
Rubiaceae,Bertiera bracteosa
Asteraceae,Bidens amplectens
Asteraceae,Bidens asymmetrica
Asteraceae,Bidens campylotheca
Asteraceae,Bidens cervicata
Asteraceae,Bidens conjuncta
Asteraceae,Bidens cosmoides
Asteraceae,Bidens forbesii
Asteraceae,Bidens hawaiensis
Asteraceae,Bidens hillebrandiana
Asteraceae,Bidens macrocarpa
Asteraceae,Bidens mauiensis
Asteraceae,Bidens menziesii
Asteraceae,Bidens micrantha
Asteraceae,Bidens molokaiensis
Asteraceae,Bidens pilosa
Asteraceae,Bidens populifolia
Asteraceae,Bidens sandvicensis
Myrtacae,Blepharocalyx salicifolius
Solanaceae,Capsicum chinense
Solanaceae,Capsicum frutescens
Solanaceae,Capsicum galapagoensis
Simaroubaceae,Castela erecta
Simaroubaceae,Castela galapageia
Orobanchaceae,Castilleja foliolosa
Orobanchaceae,Castilleja fruticosa
Orobanchaceae,Castilleja guadalupensis
Rhamnaceae,Ceanothus arboreus
Rhamnaceae,Ceanothus dentatus
Rhamnaceae,Ceanothus foliosus
Rhamnaceae,Ceanothus impressus
Rhamnaceae,Ceanothus lemmonii
Rhamnaceae,Ceanothus leucodermis
Rhamnaceae,Ceanothus parvifolius
Rhamnaceae,Ceanothus spinosus
Rhamnaceae,Ceanothus tomentosus
Polygonaceae,Chorizanthe wheeleri
Polygonaceae,Chorizanthe xanti
Asteraceae,Chrysanthellum americanum
Asteraceae,Chrysanthellum indicum
Asteraceae,Chrysanthellum pusillum
Rhamnaceae,Colubrina glandulosa
Rhamnaceae,Colubrina oppositifolia
Boraginaceae,Cordia leucophlyctis
Boraginaceae,Cordia polycephala
Boraginaceae,Cordia revoluta
Boraginaceae,Cordia spinescens
Asteraceae,Coreopsis cyclocarpa
Asteraceae,Coreopsis insularis
Boraginaceae,Cryptantha decipiens
Boraginaceae,Cryptantha foliosa
Boraginaceae,Cryptantha traskiae
Convolvulaceae,Cuscuta campestris
Convolvulaceae,Cuscuta gymnocarpa
Convolvulaceae,Cuscuta harperi
Convolvulaceae,Cuscuta obtusiflora
Convolvulaceae,Cuscuta pentagona
Convolvulaceae,Cuscuta potosina
Convolvulaceae,Cuscuta sandwichiana
Convolvulaceae,Cuscuta stenolepis
Convolvulaceae,Cuscuta yucatana
Asteraceae,Deinandra clementina
Asteraceae,Deinandra martirensis
Asteraceae,Deinandra palmeri
Asteraceae,Deinandra streetsii
Papaveraceae,Dendromecon harfordii
Papaveraceae,Dendromecon rigida
Phrymaceae,Diplacus aridus
Phrymaceae,Diplacus aurantiacus
Phrymaceae,Diplacus brandegeei
Phrymaceae,Diplacus calycinus
Phrymaceae,Diplacus clevelandii
Phrymaceae,Diplacus congdonii
Phrymaceae,Diplacus douglasii
Phrymaceae,Diplacus flemingii
Phrymaceae,Diplacus grandiflorus
Phrymaceae,Diplacus kelloggii
Phrymaceae,Diplacus longiflorus
Phrymaceae,Diplacus puniceus
Caryophyllaceae,Drymaria apetala
Caryophyllaceae,Drymaria glaberrima
Caryophyllaceae,Drymaria grandiflora
Caryophyllaceae,Drymaria monticola
Caryophyllaceae,Drymaria ovata
Caryophyllaceae,Drymaria paposana
Crassulaceae,Dudleya abramsii
Crassulaceae,Dudleya acuminata
Crassulaceae,Dudleya candelabrum
Crassulaceae,Dudleya cymosa
Crassulaceae,Dudleya farinosa
Crassulaceae,Dudleya guadalupensis
Crassulaceae,Dudleya multicaulis
Crassulaceae,Dudleya viscida
Orchidaceae,Epidendrum difforme
Orchidaceae,Epidendrum incomptum
Orchidaceae,Epidendrum spicatum
Asteraceae,Eremosis leiocarpa
Asteraceae,Eremosis littoralis
Asteraceae,Eremosis shannonii
Asteraceae,Erigeron crenatus
Asteraceae,Erigeron fernandezius
Asteraceae,Erigeron leptorhizon
Asteraceae,Erigeron rosulatus
Asteraceae,Erigeron rupicola
Asteraceae,Erigeron socorrensis
Polygonaceae,Eriogonum arborescens
Polygonaceae,Eriogonum cinereum
Polygonaceae,Eriogonum fasciculatum
Polygonaceae,Eriogonum grande
Polygonaceae,Eriogonum latifolium
Polygonaceae,Eriogonum molle
Polygonaceae,Eriogonum nudum
Polygonaceae,Eriogonum parvifolium
Papaveraceae,Eschscholzia caespitosa
Papaveraceae,Eschscholzia californica
Papaveraceae,Eschscholzia elegans
Papaveraceae,Eschscholzia hypecoides
Papaveraceae,Eschscholzia lemmonii
Papaveraceae,Eschscholzia minutiflora
Papaveraceae,Eschscholzia palmeri
Papaveraceae,Eschscholzia parishii
Papaveraceae,Eschscholzia ramosa
Solanaceae,Exodeconus maritimus
Solanaceae,Exodeconus miersii
Rubiaceae,Galium catalinense
Rubiaceae,Galium ecuadoricum
Rubiaceae,Galium eriocarpum
Rubiaceae,Galium gilliesii
Rubiaceae,Galium hallii
Rubiaceae,Galium killipii
Rubiaceae,Galium masafueranum
Rubiaceae,Galium ovalleanum
Rubiaceae,Galium philippianum
Rubiaceae,Galium plumosum
Rubiaceae,Galium trichocarpum
Ericaeae,Gaultheria howellii
Ericaeae,Gaultheria marginata
Ericaeae,Gaultheria mucronata
Ericaeae,Gaultheria myrsinoides
Ericaeae,Gaultheria poeppigii
Ericaeae,Gaultheria pumila
Polemoniaceae,Gilia achilleifolia
Polemoniaceae,Gilia angelensis
Polemoniaceae,Gilia nevinii
Malvaceae,Gossypium aridum
Malvaceae,Gossypium barbadense
Malvaceae,Gossypium darwinii
Malvaceae,Gossypium davidsonii
Malvaceae,Gossypium hirsutum
Malvaceae,Gossypium klotzschianum
Malvaceae,Gossypium tomentosum
Asteraceae,Hazardia berberidis
Asteraceae,Hazardia brickellioides
Asteraceae,Hazardia cana
Asteraceae,Hazardia detonsa
Asteraceae,Hazardia ferrisiae
Asteraceae,Hazardia orcuttii
Asteraceae,Hazardia rosarica
Asteraceae,Hazardia squarrosa
Cistaceae,Helianthemum greenei
Cistaceae,Helianthemum patens
Cistaceae,Helianthemum scoparium
Saxifragaceae,Heuchera maxima
Saxifragaceae,Heuchera pilosissima
Hypericaceae,Hypericum denticulatum
Hypericaceae,Hypericum drummondii
Hypericaceae,Hypericum eastwoodianum
Hypericaceae,Hypericum fastigiatum
Hypericaceae,Hypericum gentianoides
Hypericaceae,Hypericum gnidioides
Hypericaceae,Hypericum silenoides
Solanaceae,Iochroma confertiflorum
Solanaceae,Iochroma edule
Solanaceae,Iochroma ellipticum
Solanaceae,Iochroma salpoanum
Convolvulaceae,Ipomoea amnicola
Convolvulaceae,Ipomoea carnea
Convolvulaceae,Ipomoea chenopodiifolia
Convolvulaceae,Ipomoea descolei
Convolvulaceae,Ipomoea habeliana
Convolvulaceae,Ipomoea halierca
Convolvulaceae,Ipomoea indica
Convolvulaceae,Ipomoea jalapa
Convolvulaceae,Ipomoea jamaicensis
Convolvulaceae,Ipomoea leptophylla
Convolvulaceae,Ipomoea lindheimeri
Convolvulaceae,Ipomoea meyeri
Convolvulaceae,Ipomoea nil
Convolvulaceae,Ipomoea orizabensis
Convolvulaceae,Ipomoea pandurata
Convolvulaceae,Ipomoea pubescens
Convolvulaceae,Ipomoea scopulorum
Convolvulaceae,Ipomoea setifera
Convolvulaceae,Ipomoea tuboides
Convolvulaceae,Jacquemontia curtissii
Convolvulaceae,Jacquemontia sandwicensis
Asteraceae,Jaegeria gracilis
Asteraceae,Jaegeria hirta
Saxifragaceae,Jepsonia heterandra
Saxifragaceae,Jepsonia malvifolia
Saxifragaceae,Jepsonia parryi
Acanthaceae,Justicia cystolithosa
Acanthaceae,Justicia galapagana
Acanthaceae,Justicia glaziovii
Acanthaceae,Justicia glutinosa
Acanthaceae,Justicia kuntzei
Acanthaceae,Justicia metallica
Acanthaceae,Justicia pectoralis
Acanthaceae,Justicia rectiflora
Acanthaceae,Justicia salviiflora
Zygophyllaceae,Kallstroemia adscendens
Zygophyllaceae,Kallstroemia californica
Linaceae,Linum chamissonis
Linaceae,Linum filiforme
Linaceae,Linum harlingii
Apiaceae,Lomatium howellii
Apiaceae,Lomatium insulare
Apiaceae,Lomatium lucidum
Apiaceae,Lomatium parvifolium
Apiaceae,Lomatium repostum
Apiaceae,Lomatium rigidum
Apiaceae,Lomatium shevockii
Fabaceae,Lotus dendroideus
Fabaceae,Lotus nevadensis
Fabaceae,Lotus nuttallianus
Fabaceae,Lotus scoparius
Asteraceae,Malacothrix foliosa
Asteraceae,Malacothrix incana
Asteraceae,Malacothrix xanti
Cucurbitaceae,Marah guadalupensis
Cucurbitaceae,Marah oreganus
Sabiaceae,Meliosma dentata
Sabiaceae,Meliosma nesites
Melastomataceae,Miconia reducens
Melastomataceae,Miconia robinsoniana
Molluginacae,Mollugo crockeri
Molluginacae,Mollugo flavescens
Molluginacae,Mollugo floriana
Molluginacae,Mollugo snodgrassii
Molluginacae,Mollugo verticillata
Fabaceae,Mucuna persericea
Fabaceae,Mucuna sloanei
Myrtacae,Myrceugenia colchaguensis
Myrtacae,Myrceugenia fernandeziana
Myrtacae,Myrceugenia schulzei
Boraginaceae,Nama biflora
Boraginaceae,Nama demissa
Boraginaceae,Nama hispida
Boraginaceae,Nama pusillum
Boraginaceae,Nama sandwicensis
Boraginaceae,Nama schaffneri
Boraginaceae,Nama stevensii
Boraginaceae,Nama undulatum
Solanaceae,Nicotiana cordifolia
Solanaceae,Nicotiana nesophila
Solanaceae,Nicotiana repanda
Solanaceae,Nicotiana solanifolia
Solanaceae,Nicotiana stocktonii
Nolanaceae,Nolana galapagensis
Nolanaceae,Nolana lycioides
Bromeliaceae,Ochagavia carnea
Bromeliaceae,Ochagavia elegans
Cactaceae,Opuntia anacantha
Cactaceae,Opuntia arechavaletai
Cactaceae,Opuntia echios
Cactaceae,Opuntia elata
Cactaceae,Opuntia galapageia
Cactaceae,Opuntia helleri
Cactaceae,Opuntia megasperma
Cactaceae,Opuntia monacantha
Cactaceae,Opuntia quimilo
Cactaceae,Opuntia quitensis
Cactaceae,Opuntia saxicola
Cactaceae,Opuntia sulphurea
Asteraceae,Pectis sessiliflora
Asteraceae,Pectis tenuifolia
Asteraceae,Perityle aurea
Asteraceae,Perityle crassifolia
Asteraceae,Perityle emoryi
Asteraceae,Perityle incana
Asteraceae,Perityle socorrosensis
Boraginaceae,Phacelia cicutaria
Boraginaceae,Phacelia ciliata
Boraginaceae,Phacelia cryptantha
Boraginaceae,Phacelia distans
Boraginaceae,Phacelia floribunda
Boraginaceae,Phacelia gentryi
Boraginaceae,Phacelia ixodes
Boraginaceae,Phacelia malvifolia
Boraginaceae,Phacelia pauciflora
Boraginaceae,Phacelia ramosissima
Boraginaceae,Phacelia tanacetifolia
Boraginaceae,Phacelia thermalis
Orchidaceae,Platanthera aquilonis
Orchidaceae,Platanthera holochila
Lamiaceae,Pogogyne serpylloides
Lamiaceae,Pogogyne tenuiflora
Lamiaceae,Pogogyne zizyphoroides
Polygalaceae,Polygala paniculata
Polygalaceae,Polygala sancti-georgii
Myrtaceae,Psidium galapageium
Myrtaceae,Psidium sartorianum
Rubiaceae,Psychotria cocosensis
Rubiaceae,Psychotria nervosa
Rubiaceae,Psychotria panamensis
Rubiaceae,Psychotria rufipes
Ranunculaceae,Ranunculus acriformis
Ranunculaceae,Ranunculus caprarum
Ranunculaceae,Ranunculus fascicularis
Ranunculaceae,Ranunculus hawaiensis
Ranunculaceae,Ranunculus hispidus
Ranunculaceae,Ranunculus mauiensis
Ranunculaceae,Ranunculus peduncularis
Apocynaceae,Rauvolfia ligustrina
Apocynaceae,Rauvolfia littoralis
Apocynaceae,Rauvolfia sandwicensis
Apocynaceae,Rauvolfia tetraphylla
Apocynaceae,Rauvolfia viridis
Verbenaceae,Rhaphithamnus spinosus
Verbenaceae,Rhaphithamnus venustus
Grossulariaceae,Ribes binominatum
Grossulariaceae,Ribes californicum
Grossulariaceae,Ribes lobbii
Grossulariaceae,Ribes menziesii
Grossulariaceae,Ribes roezlii
Grossulariaceae,Ribes speciosum
Grossulariaceae,Ribes thacherianum
Rosaceae,Rubus ellipticus
Rosaceae,Rubus hawaiensis
Rosaceae,Rubus idaeus
Rosaceae,Rubus macraei
Rosaceae,Rubus niveus
Rosaceae,Rubus parviflorus
Rosaceae,Rubus rosifolius
Rosaceae,Rubus spectabilis
Rosaceae,Rubus ursinus
Apiaceae,Sanicula arctopoides
Apiaceae,Sanicula arguta
Apiaceae,Sanicula laciniata
Apiaceae,Sanicula mariversa
Apiaceae,Sanicula purpurea
Apiaceae,Sanicula sandwicensis
Asclepiadaceae,Sarcostemma angustissimum
Asclepiadaceae,Sarcostemma arenarium
Asclepiadaceae,Sarcostemma bilobum
Asclepiadaceae,Sarcostemma clausum
Asclepiadaceae,Sarcostemma crispum
Asclepiadaceae,Sarcostemma cynanchoides
Asclepiadaceae,Sarcostemma elegans
Asclepiadaceae,Sarcostemma glaucum
Asclepiadaceae,Sarcostemma gracile
Asclepiadaceae,Sarcostemma hirtellum
Asclepiadaceae,Sarcostemma pannosum
Asclepiadaceae,Sarcostemma torreyi
Scrophulariaceae,Scrophularia californica
Scrophulariaceae,Scrophularia desertorum
Scrophulariaceae,Scrophularia multiflora
Scrophulariaceae,Scrophularia villosa
Asteraceae,Senecio deppeanus
Asteraceae,Senecio douglasii
Asteraceae,Senecio eremophilus
Asteraceae,Senecio flaccidus
Asteraceae,Senecio palmeri
Asteraceae,Senecio stoechadiformis
Brassicaceae,Sibara angelorum
Brassicaceae,Sibara brandegeana
Brassicaceae,Sibara deserti
Brassicaceae,Sibara filifolia
Brassicaceae,Sibara laxa
Malvaceae,Sida glabra
Malvaceae,Sida nesogena
Caryophyllaceae,Silene antirrhina
Caryophyllaceae,Silene hawaiiensis
Caryophyllaceae,Silene lanceolata
Caryophyllaceae,Silene perlmanii
Caryophyllaceae,Silene struthioloides
Violaceae,Sisyrinchium acre
Violaceae,Sisyrinchium californicum
Solanaceae,Solanum cheesmaniae
Solanaceae,Solanum etuberosum
Solanaceae,Solanum fernandezianum
Solanaceae,Solanum galapagense
Solanaceae,Solanum lycopersicum
Solanaceae,Solanum palustre
Solanaceae,Solanum pimpinellifolium
Apiaceae,Spermolepis diffusa
Apiaceae,Spermolepis divaricata
Apiaceae,Spermolepis echinata
Apiaceae,Spermolepis hawaiiensis
Apiaceae,Spermolepis inermis
Lamiaceae,Teucrium bicolor
Lamiaceae,Teucrium nudicaule
Lamiaceae,Teucrium townsendii
Boraginaceae,Tiquilia cuspidata
Boraginaceae,Tiquilia darwinii
Boraginaceae,Tiquilia paronychioides
Fabaceae,Trifolium gracilentum
Fabaceae,Trifolium palmeri
Myrtaceae,Ugni candollei
Myrtaceae,Ugni molinae
Myrtaceae,Ugni myricoides
Myrtaceae,Ugni selkirkii
Ericaceae,Vaccinium caespitosum
Ericaceae,Vaccinium calycinum
Ericaceae,Vaccinium deliciosum
Ericaceae,Vaccinium dentatum
Ericaceae,Vaccinium membranaceum
Ericaceae,Vaccinium myrtillus
Ericaceae,Vaccinium parvifolium
Ericaceae,Vaccinium reticulatum
Ericaceae,Vaccinium scoparium
Boraginaceae,Varronia anderssonii
Boraginaceae,Varronia bifurcata
Boraginaceae,Varronia macrocephala
Verbenaceae,Verbena caniuensis
Verbenaceae,Verbena demissa
Verbenaceae,Verbena filicaulis
Verbenaceae,Verbena glabrata
Verbenaceae,Verbena gracilescens
Verbenaceae,Verbena macdougalii
Verbenaceae,Verbena madrensis
Verbenaceae,Verbena menthifolia
Verbenaceae,Verbena officinalis
Verbenaceae,Verbena recta
Verbenaceae,Verbena sedula
Verbenaceae,Verbena townsendii
Fabaceae,Vicia gigantea
Fabaceae,Vicia menziesii
Fabaceae,Vicia nigricans
Violaceae,Viola chamissoniana
Violaceae,Viola helenae
Violaceae,Viola kauaensis
Violaceae,Viola lanaiensis
Violaceae,Viola langsdorffii
Violaceae,Viola maviensis
Violaceae,Viola oahuensis
Violaceae,Viola wailenalenae